name,price,url
Диван прямой Слипсон Velvet Milk,59990,https://www.divan.ru/product/divan-slipson-velvet-milk
Диван прямой Спейс Velvet Olive,66990,https://www.divan.ru/product/divan-spejs-velvet-olive
Диван прямой Нумо Мини Textile Light,26990,https://www.divan.ru/product/divan-numo-mini-textile-light
Диван прямой Клаймар Velvet Terra,59990,https://www.divan.ru/product/divan-klajmar-velvet-terra
Диван прямой Льери Мини Velvet Yellow,64990,https://www.divan.ru/product/divan-leri-mini-velvet-yellow
Диван прямой Нумо Velvet Green,38990,https://www.divan.ru/product/divan-numo-velvet-green
Диван прямой Лилт Bucle Lilac,82990,https://www.divan.ru/product/divan-lilt-bucle-lilac
Диван прямой Эби Velvet Coral,66990,https://www.divan.ru/product/divan-ebi-velvet-coral
Диван прямой Виена Velvet Smoke,59990,https://www.divan.ru/product/divan-viena-time-grey
Диван модульный Риббл-1 Bucle Mint,78980,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint
Диван угловой Аллаум Linia Stone,54990,https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone
Диван прямой Ларонсо Soft Blue,94990,https://www.divan.ru/product/divan-laronso-soft-blue
Диван прямой Сваут Velvet Mustard,66990,https://www.divan.ru/product/divan-svaut-velvet-mustard
Диван прямой Тилар Cozy Milk,31990,https://www.divan.ru/product/divan-tilar-cozy-milk
Диван прямой Бонс-Т Velvet Emerald,46990,https://www.divan.ru/product/divan-bons-t-velvet-emerald
Диван прямой Инес Vertical Blue,46990,https://www.divan.ru/product/divan-ines-vertical-blue
Диван угловой Дарол Velvet Silver,67990,https://www.divan.ru/product/divan-uglovoj-darol-velvet-silver
Диван угловой Нордика мини Velvet Coral,59990,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-coral
Диван прямой Бонент Velvet Eclipse,79990,https://www.divan.ru/product/divan-bonent-velvet-eclipse
Диван угловой Эдвин Velvet Terra,72990,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra
Диван прямой Эби Мини Linia Mint,58990,https://www.divan.ru/product/divan-abi-mini-linia-mint
Диван прямой Роттердам Velvet Yellow,27990,https://www.divan.ru/product/divan-rotterdam-velvet-yellow-new
Диван прямой Бруквиль Velvet Blue,53990,https://www.divan.ru/product/divan-brukvil-velvet-blue
Диван модульный Brera-7 Velour Mix,178970,https://www.divan.ru/product/modulnyj-divan-brera-7-velour-mix
